t,I,pos2,vel2,F2,v2e,v2f,y2e,y2f,ss2e,ss2f,Af2e,Af2f,eps2e,eps2f,phi2e,phi2f,PF2E,PF2F,SN2,MN2E,MN2F,s2,pos3,vel3,F3,v3e,v3f,y3e,y3f,ss3e,ss3f,Af3e,Af3f,eps3e,eps3f,phi3e,phi3f,PF3E,PF3F,SN3,MN3E,MN3F,s3
0.690000,0.010027,1.154752,0.338292,-40.405422,0.002204,-0.005877,-0.215469,-0.215115,9.971737,10.028300,0.050000,0.050000,0.010000,0.010000,0.000102,-0.000272,0.500275,0.499265,0.505188,0.503684,0.504442,-0.003787,2.493265,-0.014639,43.613571,-0.010559,0.006886,-0.214861,-0.215625,10.061128,9.939045,0.050000,0.050000,0.020000,0.020000,-0.000590,0.000589,0.498680,0.500861,0.499776,0.500822,0.499186,0.008178
0.700000,0.019895,1.160564,-0.032783,-8.537020,0.001225,-0.008557,-0.214987,-0.213784,9.965770,10.034282,0.050000,0.050000,0.010000,0.010000,0.000646,-0.000984,0.500153,0.498930,0.499497,0.499508,0.500425,-0.004585,2.492526,0.020027,4.883602,-0.013361,0.006030,-0.212927,-0.215431,10.067976,9.932233,0.050000,0.050000,0.020000,0.020000,-0.001264,0.001259,0.498330,0.500754,0.500307,0.501483,0.499665,0.009089
0.710000,0.029450,1.162868,-0.013089,5.084964,-0.001109,-0.009861,-0.214377,-0.212218,9.969324,10.030720,0.050000,0.050000,0.010000,0.010000,0.001211,-0.001714,0.499861,0.498767,0.499799,0.499953,0.500774,-0.004102,2.491126,-0.006151,-7.659673,-0.013636,0.002669,-0.210790,-0.215121,10.057241,9.942920,0.050000,0.050000,0.020000,0.020000,-0.001842,0.001832,0.498296,0.500334,0.499906,0.501208,0.499679,0.007643
0.720000,0.038540,1.174035,0.045276,29.716763,-0.005899,-0.008688,-0.213445,-0.210651,9.990101,10.009917,0.050000,0.050000,0.010000,0.010000,0.001567,-0.002230,0.499263,0.498914,0.500694,0.501074,0.501335,-0.001308,2.488501,-0.004840,-12.303438,-0.012963,-0.001616,-0.208692,-0.214545,10.040009,9.960103,0.050000,0.050000,0.020000,0.020000,-0.002166,0.002149,0.498380,0.499798,0.499926,0.501160,0.500096,0.005319
0.730000,0.047023,1.180768,0.002575,48.237339,-0.012529,-0.005650,-0.211874,-0.209342,10.023846,9.976183,0.050000,0.050000,0.010000,0.010000,0.001581,-0.002402,0.498434,0.499294,0.500039,0.501204,0.500559,0.003225,2.486232,-0.007463,-23.876862,-0.009959,-0.008208,-0.206856,-0.213466,10.006593,9.993482,0.050000,0.050000,0.020000,0.020000,-0.002036,0.002014,0.498755,0.498974,0.499886,0.500848,0.500684,0.000820
0.740000,0.054764,1.188673,0.039196,59.660912,-0.020284,-0.001458,-0.209310,-0.208423,10.065573,9.934520,0.050000,0.050000,0.010000,0.010000,0.001083,-0.002065,0.497465,0.499818,0.500601,0.502352,0.500588,0.008824,2.484230,-0.003767,-30.316238,-0.005650,-0.016076,-0.205486,-0.211509,9.964213,10.035884,0.050000,0.050000,0.020000,0.020000,-0.001328,0.001309,0.499294,0.497990,0.499942,0.500486,0.501464,-0.004887
0.750000,0.061641,1.195685,0.036907,75.970795,-0.029641,0.004373,-0.205378,-0.207934,10.118609,9.881589,0.050000,0.050000,0.010000,0.010000,-0.000078,-0.001082,0.496295,0.500547,0.500566,0.503203,0.500014,0.015944,2.482323,-0.008726,-39.314213,0.000471,-0.025723,-0.204667,-0.208237,9.909353,10.090821,0.050000,0.050000,0.020000,0.020000,0.000129,-0.000131,0.500059,0.496785,0.499866,0.499855,0.502311,-0.012278
0.760000,0.067546,1.201645,0.031948,81.705009,-0.039531,0.010785,-0.199818,-0.207808,10.175394,9.824857,0.050000,0.050000,0.010000,0.010000,-0.002031,0.000659,0.495059,0.501348,0.500490,0.504073,0.499356,0.023585,2.480368,-0.009274,-43.886421,0.007517,-0.036252,-0.204358,-0.203274,9.848301,10.151937,0.050000,0.050000,0.020000,0.020000,0.002417,-0.002383,0.500940,0.495469,0.499858,0.499189,0.503292,-0.020516
0.770000,0.072386,1.206287,0.027704,89.882668,-0.050185,0.018020,-0.192584,-0.207895,10.237349,9.762743,0.050000,0.050000,0.010000,0.010000,-0.004874,0.003239,0.493727,0.502253,0.500425,0.505023,0.498629,0.031969,2.478477,-0.010943,-48.490864,0.015491,-0.047654,-0.204389,-0.196473,9.781156,10.218980,0.050000,0.050000,0.020000,0.020000,0.005624,-0.005533,0.501936,0.494044,0.499832,0.498422,0.504341,-0.029597
0.780000,0.076085,1.209522,0.016141,92.327614,-0.061016,0.025506,-0.183783,-0.208038,10.300146,9.699338,0.050000,0.050000,0.010000,0.010000,-0.008670,0.006715,0.492374,0.503188,0.500248,0.505905,0.497794,0.040553,2.476523,-0.013161,-50.590500,0.023892,-0.059414,-0.204552,-0.187910,9.711560,10.288055,0.050000,0.050000,0.020000,0.020000,0.009785,-0.009616,0.502987,0.492574,0.499798,0.497609,0.505418,-0.039046
