t,I,pos2,vel2,F2,v2e,v2f,y2e,y2f,ss2e,ss2f,Af2e,Af2f,eps2e,eps2f,phi2e,phi2f,PF2E,PF2F,SN2,MN2E,MN2F,s2,pos3,vel3,F3,v3e,v3f,y3e,y3f,ss3e,ss3f,Af3e,Af3f,eps3e,eps3f,phi3e,phi3f,PF3E,PF3F,SN3,MN3E,MN3F,s3
0.680000,0.000000,1.158306,0.012326,-70.103294,0.004856,-0.009163,-0.215562,-0.214941,9.950992,10.049118,0.050000,0.050000,0.010000,0.010000,0.000224,-0.000424,0.500607,0.498855,0.500189,0.499687,0.501001,-0.006571,2.510680,0.031066,43.963745,-0.010957,0.006646,-0.214838,-0.215618,10.061617,9.938555,0.050000,0.050000,0.020000,0.020000,-0.000731,0.000730,0.498630,0.500831,0.500476,0.501385,0.499734,0.008252
0.690000,0.010027,1.156713,-0.045013,-8.668655,0.003572,-0.012167,-0.215245,-0.213181,9.944941,10.055194,0.050000,0.050000,0.010000,0.010000,0.000894,-0.001292,0.500446,0.498479,0.499310,0.499147,0.500623,-0.007378,2.512364,0.020957,6.708066,-0.014464,0.005850,-0.212800,-0.215413,10.071023,9.929199,0.050000,0.050000,0.020000,0.020000,-0.001563,0.001559,0.498192,0.500731,0.500321,0.501597,0.499693,0.009522
0.700000,0.019895,1.162503,0.043249,1.756243,0.001249,-0.014110,-0.214811,-0.211093,9.946167,10.053964,0.050000,0.050000,0.010000,0.010000,0.001617,-0.002212,0.500156,0.498236,0.500663,0.500380,0.501820,-0.007200,2.510389,-0.012231,-0.640218,-0.016484,0.003582,-0.210375,-0.215125,10.070126,9.930092,0.050000,0.050000,0.020000,0.020000,-0.002382,0.002372,0.497939,0.500448,0.499812,0.501405,0.499523,0.009406
0.710000,0.029450,1.172584,0.036001,23.001076,-0.003193,-0.013907,-0.214113,-0.208894,9.962230,10.037862,0.050000,0.050000,0.010000,0.010000,0.002230,-0.003017,0.499601,0.498262,0.500552,0.500713,0.501718,-0.005022,2.507074,-0.009537,-7.728652,-0.017065,-0.000106,-0.207769,-0.214642,10.059306,9.940877,0.050000,0.050000,0.020000,0.020000,-0.003025,0.003005,0.497867,0.499987,0.499854,0.501490,0.499900,0.007949
0.720000,0.038540,1.182473,-0.008965,39.702793,-0.009295,-0.012012,-0.212892,-0.206855,9.989976,10.010090,0.050000,0.050000,0.010000,0.010000,0.002589,-0.003559,0.498838,0.498499,0.499863,0.500768,0.501023,-0.001273,2.504309,-0.004172,-18.771656,-0.015410,-0.006009,-0.205261,-0.213752,10.033046,9.967093,0.050000,0.050000,0.020000,0.020000,-0.003306,0.003273,0.498074,0.499249,0.499936,0.501397,0.500515,0.004407
0.730000,0.047023,1.191010,0.039673,58.024902,-0.017214,-0.008266,-0.210785,-0.205200,10.030533,9.969543,0.050000,0.050000,0.010000,0.010000,0.002498,-0.003644,0.497848,0.498967,0.500608,0.502070,0.501231,0.004194,2.502333,-0.003409,-29.334099,-0.011614,-0.014027,-0.203162,-0.212076,9.992043,10.008087,0.050000,0.050000,0.020000,0.020000,-0.003031,0.002983,0.498548,0.498247,0.499948,0.501050,0.501276,-0.001131
0.740000,0.054764,1.198972,0.039339,71.635197,-0.026466,-0.003145,-0.207367,-0.204071,10.080540,9.919559,0.050000,0.050000,0.010000,0.010000,0.001779,-0.003104,0.496692,0.499607,0.500603,0.502934,0.500747,0.010931,2.500218,-0.006175,-37.604332,-0.006134,-0.023698,-0.201677,-0.209130,9.939539,10.060609,0.050000,0.050000,0.020000,0.020000,-0.002042,0.001986,0.499233,0.497038,0.499905,0.500504,0.502151,-0.008233
0.750000,0.061641,1.205822,0.035429,86.495865,-0.037162,0.003470,-0.202273,-0.203493,10.140692,9.859350,0.050000,0.050000,0.010000,0.010000,0.000262,-0.001785,0.495355,0.500434,0.500543,0.503891,0.500082,0.019045,2.498008,-0.008202,-46.607346,0.001174,-0.035157,-0.200877,-0.204434,9.874601,10.125499,0.050000,0.050000,0.020000,0.020000,-0.000167,0.000113,0.500147,0.495605,0.499874,0.499796,0.503202,-0.017029
0.760000,0.067546,1.212461,0.022268,92.881424,-0.048437,0.010727,-0.195351,-0.203357,10.204790,9.794940,0.050000,0.050000,0.010000,0.010000,-0.002192,0.000433,0.493946,0.501341,0.500341,0.504797,0.499250,0.027731,2.495443,-0.008917,-50.013191,0.009185,-0.047270,-0.200646,-0.197749,9.805173,10.194627,0.050000,0.050000,0.020000,0.020000,0.002669,-0.002708,0.501148,0.494092,0.499863,0.499036,0.504329,-0.026462
0.770000,0.072386,1.216802,0.017357,100.522629,-0.060398,0.018749,-0.186683,-0.203468,10.273253,9.725609,0.050000,0.050000,0.010000,0.010000,-0.005665,0.003622,0.492451,0.502344,0.500266,0.505861,0.498442,0.037096,2.493196,-0.011420,-55.369377,0.018288,-0.060409,-0.200747,-0.189124,9.728750,10.270152,0.050000,0.050000,0.020000,0.020000,0.006556,-0.006570,0.502286,0.492449,0.499825,0.498154,0.505531,-0.036886
