t,I,pos2,vel2,F2,v2e,v2f,y2e,y2f,ss2e,ss2f,Af2e,Af2f,eps2e,eps2f,phi2e,phi2f,PF2E,PF2F,SN2,MN2E,MN2F,s2,pos3,vel3,F3,v3e,v3f,y3e,y3f,ss3e,ss3f,Af3e,Af3f,eps3e,eps3f,phi3e,phi3f,PF3E,PF3F,SN3,MN3E,MN3F,s3
1.130000,-0.047023,1.224186,0.104070,7.805228,-0.006810,0.002538,-0.207551,-0.212470,100.103674,99.896364,0.001000,0.001000,0.060000,0.060000,-0.000326,0.000119,0.499149,0.500317,0.501596,0.501835,0.500959,0.004382,2.697172,-0.047040,-3.527999,-0.000040,-0.004249,-0.215364,-0.208799,99.953148,100.046860,0.001000,0.001000,0.060000,0.060000,0.000324,-0.000321,0.499995,0.499469,0.499279,0.499463,0.499857,-0.001973
1.140000,-0.038540,1.238527,-0.039411,-2.955794,-0.007052,-0.001347,-0.195498,-0.209459,100.064424,99.935604,0.001000,0.001000,0.060000,0.060000,-0.000680,0.000256,0.499118,0.499832,0.499396,0.500208,0.499673,0.002674,2.691412,-0.010967,-0.822544,-0.001685,-0.006777,-0.211164,-0.197858,99.942226,100.057783,0.001000,0.001000,0.060000,0.060000,0.000601,-0.000595,0.499789,0.499153,0.499832,0.500032,0.500509,-0.002387
1.150000,-0.029450,1.246014,-0.020671,-1.550317,-0.008016,-0.004332,-0.183329,-0.200951,100.043844,99.956187,0.001000,0.001000,0.060000,0.060000,-0.001029,0.000380,0.498998,0.499458,0.499683,0.500514,0.500168,0.001727,2.688532,-0.005054,-0.379086,-0.003528,-0.008922,-0.202725,-0.185357,99.937194,100.062815,0.001000,0.001000,0.060000,0.060000,0.000856,-0.000853,0.499559,0.498885,0.499922,0.500273,0.500778,-0.002528
1.160000,-0.019895,1.256944,-0.008035,-0.602603,-0.009425,-0.006651,-0.170572,-0.190275,100.035848,99.964186,0.001000,0.001000,0.060000,0.060000,-0.001394,0.000507,0.498822,0.499169,0.499877,0.500791,0.500531,0.001300,2.686020,-0.003505,-0.262856,-0.005350,-0.010865,-0.192855,-0.171581,99.933704,100.066302,0.001000,0.001000,0.060000,0.060000,0.001121,-0.001126,0.499331,0.498642,0.499946,0.500461,0.500978,-0.002585
1.170000,-0.010027,1.267823,-0.019169,-1.437664,-0.010202,-0.009356,-0.157324,-0.177887,100.016786,99.983259,0.001000,0.001000,0.060000,0.060000,-0.001749,0.000608,0.498725,0.498830,0.499706,0.500736,0.500657,0.000396,2.679388,-0.002408,-0.180602,-0.007115,-0.012616,-0.181830,-0.156731,99.931308,100.068695,0.001000,0.001000,0.060000,0.060000,0.001365,-0.001391,0.499111,0.498423,0.499963,0.500639,0.501155,-0.002578
1.180000,0.000000,1.278659,-0.018978,-1.423359,-0.010854,-0.011920,-0.143909,-0.163742,99.997927,100.002126,0.001000,0.001000,0.060000,0.060000,-0.002091,0.000678,0.498643,0.498510,0.499709,0.500799,0.500899,-0.000499,2.673071,0.013590,1.019239,-0.009485,-0.013494,-0.169466,-0.141275,99.944825,100.055206,0.001000,0.001000,0.060000,0.060000,0.001544,-0.001602,0.498814,0.498313,0.500208,0.501046,0.501421,-0.001879
1.190000,0.010027,1.289984,-0.010109,-0.758171,-0.011771,-0.013935,-0.130272,-0.148176,99.987892,100.012161,0.001000,0.001000,0.060000,0.060000,-0.002411,0.000686,0.498529,0.498258,0.499845,0.500987,0.501190,-0.001015,2.667944,0.027132,2.034903,-0.012331,-0.013609,-0.155365,-0.125897,99.971785,100.028313,0.001000,0.001000,0.060000,0.060000,0.001637,-0.001724,0.498459,0.498299,0.500416,0.501468,0.501588,-0.000599
1.200000,0.019895,1.305120,0.017595,1.319647,-0.013794,-0.014545,-0.115860,-0.132029,100.005324,99.994724,0.001000,0.001000,0.060000,0.060000,-0.002777,0.000659,0.498276,0.498182,0.500270,0.501496,0.501566,-0.000352,2.665614,0.038242,2.868176,-0.015527,-0.013073,-0.139243,-0.111172,100.009705,99.990457,0.001000,0.001000,0.060000,0.060000,0.001695,-0.001780,0.498059,0.498366,0.500586,0.501896,0.501665,0.001151
1.210000,0.029450,1.312035,-0.039244,-2.943277,-0.013113,-0.017547,-0.101357,-0.114908,99.966533,100.033487,0.001000,0.001000,0.060000,0.060000,-0.002925,0.000309,0.498361,0.497807,0.499398,0.500778,0.501194,-0.002078,2.660023,0.033021,2.476573,-0.018317,-0.012628,-0.121186,-0.097304,100.042324,99.957817,0.001000,0.001000,0.060000,0.060000,0.001466,-0.001539,0.497710,0.498421,0.500506,0.502097,0.501564,0.002666
1.220000,0.038540,1.320685,-0.032783,-2.458692,-0.012583,-0.020078,-0.087798,-0.096066,99.934185,100.065635,0.001000,0.001000,0.060000,0.060000,-0.002820,-0.000459,0.498427,0.497490,0.499497,0.500803,0.501505,-0.003513,2.653062,0.050545,3.790855,-0.021705,-0.011262,-0.101171,-0.084607,100.091879,99.907916,0.001000,0.001000,0.060000,0.060000,0.000765,-0.000791,0.497287,0.498592,0.500775,0.502616,0.501637,0.004895
