t,I,pos2,vel2,F2,v2e,v2f,y2e,y2f,ss2e,ss2f,Af2e,Af2f,eps2e,eps2f,phi2e,phi2f,PF2E,PF2F,SN2,MN2E,MN2F,s2,pos3,vel3,F3,v3e,v3f,y3e,y3f,ss3e,ss3f,Af3e,Af3f,eps3e,eps3f,phi3e,phi3f,PF3E,PF3F,SN3,MN3E,MN3F,s3
0.680000,0.000000,1.161285,-0.028181,-69.446884,0.004790,-0.009097,-0.215560,-0.214944,9.951450,10.048657,0.050000,0.050000,0.010000,0.010000,0.000221,-0.000421,0.500599,0.498863,0.499568,0.499227,0.500529,-0.006510,2.513929,0.014925,44.657681,-0.011085,0.006778,-0.214831,-0.215622,10.062591,9.937587,0.050000,0.050000,0.020000,0.020000,-0.000733,0.000733,0.498614,0.500847,0.500229,0.501211,0.499536,0.008373
0.690000,0.010027,1.157262,-0.044155,-8.695362,0.003509,-0.012104,-0.215239,-0.213193,9.945380,10.054752,0.050000,0.050000,0.010000,0.010000,0.000894,-0.001292,0.500439,0.498487,0.499323,0.499163,0.500627,-0.007319,2.514231,0.021124,6.975177,-0.014618,0.006022,-0.212773,-0.215425,10.072371,9.927859,0.050000,0.050000,0.020000,0.020000,-0.001570,0.001567,0.498173,0.500753,0.500324,0.501613,0.499678,0.009675
0.700000,0.019895,1.163953,-0.016594,0.012205,0.001361,-0.014222,-0.214807,-0.211102,9.945389,10.054744,0.050000,0.050000,0.010000,0.010000,0.001630,-0.002226,0.500170,0.498222,0.499746,0.499682,0.501142,-0.007304,2.512752,0.001788,0.881475,-0.016910,0.004050,-0.210304,-0.215155,10.073606,9.926630,0.050000,0.050000,0.020000,0.020000,-0.002415,0.002407,0.497886,0.500506,0.500027,0.501606,0.499641,0.009825
0.710000,0.029450,1.175451,0.009823,9.171508,-0.001698,-0.015401,-0.214178,-0.208786,9.951792,10.048323,0.050000,0.050000,0.010000,0.010000,0.002332,-0.003122,0.499788,0.498075,0.500151,0.500272,0.501557,-0.006423,2.510858,-0.003052,-8.162397,-0.017369,0.000271,-0.207643,-0.214702,10.062179,9.938018,0.050000,0.050000,0.020000,0.020000,-0.003141,0.003128,0.497829,0.500034,0.499953,0.501593,0.499939,0.008269
0.720000,0.038540,1.185276,-0.001335,40.034843,-0.007836,-0.013471,-0.213117,-0.206537,9.979761,10.020318,0.050000,0.050000,0.010000,0.010000,0.002774,-0.003751,0.499021,0.498316,0.499980,0.500719,0.501248,-0.002641,2.508551,-0.008583,-19.108047,-0.015611,-0.005691,-0.205097,-0.213844,10.035447,9.964701,0.050000,0.050000,0.020000,0.020000,-0.003500,0.003480,0.498049,0.499289,0.499868,0.501365,0.500435,0.004650
0.730000,0.047023,1.193458,0.026393,57.125816,-0.015667,-0.009811,-0.211216,-0.204688,10.019685,9.980394,0.050000,0.050000,0.010000,0.010000,0.002765,-0.003926,0.498042,0.498774,0.500405,0.501772,0.501223,0.002745,2.505830,-0.008917,-28.667551,-0.011918,-0.013555,-0.202964,-0.212219,9.995374,10.004762,0.050000,0.050000,0.020000,0.020000,-0.003312,0.003287,0.498510,0.498306,0.499863,0.501015,0.501168,-0.000767
0.740000,0.054764,1.201388,0.035238,71.022457,-0.024864,-0.004745,-0.208052,-0.203387,10.069276,9.930822,0.050000,0.050000,0.010000,0.010000,0.002138,-0.003484,0.496892,0.499407,0.500540,0.502736,0.500850,0.009430,2.503092,-0.007129,-37.498344,-0.006439,-0.023165,-0.201442,-0.209352,9.943012,10.057138,0.050000,0.050000,0.020000,0.020000,-0.002415,0.002391,0.499195,0.497104,0.499891,0.500522,0.502090,-0.007840
0.750000,0.061641,1.208503,0.035310,84.954803,-0.035414,0.001723,-0.203243,-0.202671,10.128398,9.871652,0.050000,0.050000,0.010000,0.010000,0.000723,-0.002272,0.495573,0.500215,0.500541,0.503726,0.500245,0.017408,2.501099,-0.006700,-45.643272,0.000683,-0.034369,-0.200606,-0.204768,9.879406,10.120703,0.050000,0.050000,0.020000,0.020000,-0.000650,0.000637,0.500085,0.495704,0.499897,0.499859,0.503145,-0.016430
0.760000,0.067546,1.214455,0.027347,94.465500,-0.046859,0.009148,-0.196589,-0.202451,10.193677,9.806088,0.050000,0.050000,0.010000,0.010000,-0.001624,-0.000161,0.494143,0.501143,0.500419,0.504707,0.499457,0.026251,2.499085,-0.011158,-51.513790,0.008986,-0.046695,-0.200356,-0.198194,9.807879,10.191944,0.050000,0.050000,0.020000,0.020000,0.002095,-0.002086,0.501123,0.494163,0.499829,0.499029,0.504249,-0.026099
0.770000,0.072386,1.219311,0.017190,99.755119,-0.058756,0.017102,-0.188146,-0.202532,10.261763,9.737211,0.050000,0.050000,0.010000,0.010000,-0.004999,0.002930,0.492656,0.502138,0.500264,0.505705,0.498594,0.035555,2.496978,-0.013781,-55.386162,0.018065,-0.059724,-0.200454,-0.189657,9.731417,10.267558,0.050000,0.050000,0.020000,0.020000,0.005884,-0.005845,0.502258,0.492535,0.499789,0.498148,0.505440,-0.036460
