t,I,pos2,vel2,F2,v2e,v2f,y2e,y2f,ss2e,ss2f,Af2e,Af2f,eps2e,eps2f,phi2e,phi2f,PF2E,PF2F,SN2,MN2E,MN2F,s2,pos3,vel3,F3,v3e,v3f,y3e,y3f,ss3e,ss3f,Af3e,Af3f,eps3e,eps3f,phi3e,phi3f,PF3E,PF3F,SN3,MN3E,MN3F,s3
0.680000,0.000000,1.159059,-0.006509,-71.181747,0.004958,-0.009259,-0.217384,-0.211532,99.842508,100.157580,0.050000,0.050000,0.010000,0.010000,0.000227,-0.000435,0.500620,0.498843,0.499900,0.499460,0.500793,-0.006664,2.511513,0.001407,44.574669,-0.011055,0.006753,-0.210769,-0.218098,100.197349,99.802789,0.050000,0.050000,0.020000,0.020000,-0.000748,0.000743,0.498618,0.500844,0.500022,0.501053,0.499383,0.008347
0.690000,0.010027,1.154944,-0.045276,-8.819565,0.003654,-0.012207,-0.220223,-0.201891,99.823005,100.177093,0.050000,0.050000,0.010000,0.010000,0.000911,-0.001338,0.500457,0.498474,0.499306,0.499137,0.500624,-0.007435,2.510227,0.021195,9.758101,-0.015059,0.006505,-0.199106,-0.222761,100.240508,99.759654,0.050000,0.050000,0.020000,0.020000,-0.001655,0.001625,0.498118,0.500813,0.500325,0.501656,0.499634,0.010108
0.700000,0.019895,1.161634,0.026178,6.537422,0.000794,-0.013513,-0.221391,-0.190449,99.837464,100.162640,0.050000,0.050000,0.010000,0.010000,0.001688,-0.002319,0.500099,0.498311,0.500401,0.500227,0.501568,-0.006706,2.509259,0.013542,0.245635,-0.017030,0.004311,-0.184885,-0.226451,100.241593,99.758569,0.050000,0.050000,0.020000,0.020000,-0.002587,0.002502,0.497871,0.500539,0.500208,0.501752,0.499752,0.010004
0.710000,0.029450,1.173812,0.010538,9.611336,-0.002373,-0.014393,-0.220111,-0.178113,99.858723,100.141410,0.050000,0.050000,0.010000,0.010000,0.002477,-0.003286,0.499703,0.498201,0.500162,0.500344,0.501471,-0.005634,2.508575,0.005031,-9.012399,-0.017004,0.000240,-0.169896,-0.227638,100.201833,99.798421,0.050000,0.050000,0.020000,0.020000,-0.003445,0.003289,0.497875,0.500030,0.500077,0.501652,0.500035,0.008083
0.720000,0.038540,1.183604,-0.008917,40.285015,-0.008578,-0.012083,-0.214938,-0.166463,99.947823,100.052455,0.050000,0.050000,0.010000,0.010000,0.003047,-0.003984,0.498928,0.498490,0.499863,0.500702,0.501030,-0.001643,2.506729,-0.009251,-18.709707,-0.014892,-0.005765,-0.155933,-0.224710,100.119330,99.881178,0.050000,0.050000,0.020000,0.020000,-0.003961,0.003722,0.498139,0.499279,0.499858,0.501290,0.500434,0.004278
0.730000,0.047023,1.191908,0.035048,58.196934,-0.016493,-0.007878,-0.203723,-0.157664,100.076415,99.923885,0.050000,0.050000,0.010000,0.010000,0.003161,-0.004186,0.497938,0.499015,0.500537,0.501949,0.501142,0.004038,2.503829,-0.015545,-29.383030,-0.010518,-0.013849,-0.144848,-0.215822,99.989676,100.011090,0.050000,0.050000,0.020000,0.020000,-0.003839,0.003544,0.498685,0.498269,0.499762,0.500807,0.501120,-0.001561
0.740000,0.054764,1.199323,0.035143,70.950188,-0.025535,-0.002330,-0.185080,-0.153007,100.232658,99.767044,0.050000,0.050000,0.010000,0.010000,0.002487,-0.003659,0.496808,0.499709,0.500539,0.502798,0.500623,0.010877,2.500821,-0.010538,-37.534531,-0.004422,-0.023439,-0.138252,-0.199212,99.823824,100.176653,0.050000,0.050000,0.020000,0.020000,-0.002757,0.002497,0.499447,0.497070,0.499838,0.500293,0.502076,-0.008914
0.750000,0.061641,1.205920,0.032187,83.719025,-0.035627,0.004516,-0.158039,-0.153450,100.415330,99.582046,0.050000,0.050000,0.010000,0.010000,0.000586,-0.002170,0.495547,0.500565,0.500494,0.503710,0.499947,0.018816,2.498249,-0.006628,-44.848129,0.003177,-0.034284,-0.137343,-0.173565,99.625573,100.373076,0.050000,0.050000,0.020000,0.020000,-0.000318,0.000258,0.500397,0.495715,0.499898,0.499626,0.503138,-0.017559
0.760000,0.067546,1.212044,0.034118,93.699341,-0.046402,0.012328,-0.122077,-0.159714,100.614650,99.375493,0.050000,0.050000,0.010000,0.010000,-0.003171,0.000525,0.494200,0.501541,0.500523,0.504742,0.499237,0.027528,2.496252,-0.005841,-50.294060,0.011845,-0.045920,-0.142950,-0.138177,99.403805,100.589036,0.050000,0.050000,0.020000,0.020000,0.003978,-0.003601,0.501481,0.494260,0.499910,0.498822,0.504238,-0.027076
0.770000,0.072386,1.217415,0.021005,99.714157,-0.057376,0.020649,-0.077274,-0.172126,100.810056,99.156674,0.050000,0.050000,0.010000,0.010000,-0.009726,0.004763,0.492828,0.502581,0.500322,0.505620,0.498306,0.036571,2.494241,-0.009727,-54.802452,0.021327,-0.058063,-0.155533,-0.092973,99.163565,100.810216,0.050000,0.050000,0.020000,0.020000,0.010921,-0.009818,0.502666,0.492743,0.499851,0.497889,0.505331,-0.037211
0.780000,0.076085,1.220574,0.010991,105.940857,-0.068483,0.029438,-0.024047,-0.190766,100.954173,98.925500,0.050000,0.050000,0.010000,0.010000,-0.019494,0.011231,0.491440,0.503680,0.500169,0.506546,0.497367,0.045895,2.492107,-0.016761,-58.221134,0.031334,-0.070404,-0.175270,-0.038280,98.910271,100.991765,0.050000,0.050000,0.020000,0.020000,0.020766,-0.019179,0.503917,0.491200,0.499743,0.496870,0.506407,-0.047684
0.790000,0.078583,1.222763,0.009704,105.042534,-0.078929,0.037921,0.036815,-0.215399,100.939028,98.697493,0.050000,0.050000,0.010000,0.010000,-0.027805,0.020659,0.490135,0.504740,0.500149,0.507510,0.496557,0.054765,2.489819,-0.018978,-58.361107,0.041139,-0.082197,-0.201939,0.025119,98.658107,101.016916,0.050000,0.050000,0.020000,0.020000,0.028948,-0.028196,0.505142,0.489727,0.499709,0.495925,0.507486,-0.057804
0.800000,0.079842,1.223662,0.006270,106.894585,-0.088919,0.046317,0.104324,-0.245609,100.790904,98.466397,0.050000,0.050000,0.010000,0.010000,-0.032905,0.029629,0.488887,0.505789,0.500096,0.508406,0.495730,0.063380,2.487381,-0.021863,-60.008018,0.050975,-0.093641,-0.235167,0.096253,98.400096,100.872054,0.050000,0.050000,0.020000,0.020000,0.033950,-0.033976,0.506372,0.488297,0.499665,0.494970,0.508525,-0.067775
0.810000,0.079842,1.224020,-0.005722,98.530502,-0.097370,0.053550,0.177266,-0.280716,100.609667,98.253892,0.050000,0.050000,0.010000,0.010000,-0.036082,0.035404,0.487831,0.506693,0.499912,0.509060,0.494914,0.070727,2.484506,-0.022483,-56.343311,0.059718,-0.103597,-0.274302,0.173900,98.158472,100.671757,0.050000,0.050000,0.020000,0.020000,0.037128,-0.037728,0.507464,0.487053,0.499655,0.494144,0.509450,-0.076534
0.820000,0.078583,1.222398,-0.014997,90.874420,-0.104305,0.059649,0.254139,-0.319715,100.427369,98.058058,0.050000,0.050000,0.010000,0.010000,-0.038189,0.039207,0.486965,0.507456,0.499770,0.509603,0.494236,0.076833,2.482219,-0.021482,-51.460728,0.067070,-0.111767,-0.318235,0.256411,97.937895,100.468016,0.050000,0.050000,0.020000,0.020000,0.039310,-0.040354,0.508383,0.486033,0.499671,0.493466,0.510227,-0.083804
0.830000,0.076085,1.219816,-0.019407,81.391930,-0.109511,0.064397,0.333462,-0.361574,100.257921,97.882621,0.050000,0.050000,0.010000,0.010000,-0.039669,0.041926,0.486315,0.508049,0.499702,0.510040,0.493740,0.081495,2.480186,-0.023293,-46.781357,0.073030,-0.118156,-0.365784,0.342138,97.737219,100.274529,0.050000,0.050000,0.020000,0.020000,0.040907,-0.042317,0.509128,0.485235,0.499643,0.492887,0.510804,-0.089588
0.840000,0.072386,1.216182,-0.031042,67.282684,-0.112507,0.067308,0.413563,-0.405054,100.115082,97.737458,0.050000,0.050000,0.010000,0.010000,-0.040754,0.044019,0.485940,0.508413,0.499524,0.510186,0.493334,0.084263,2.477596,-0.026202,-38.554916,0.076859,-0.122030,-0.415545,0.429234,97.571575,100.111479,0.050000,0.050000,0.020000,0.020000,0.042146,-0.043865,0.509606,0.484751,0.499598,0.492495,0.511134,-0.093195
